,EREGL_Volume,EREGL_AdjClose,SAHOL_Volume,SAHOL_AdjClose,KOC_Volume,KOC_AdjClose,XU100_Close,USDTRY_Close,EREGL_AdjClose_return,SAHOL_AdjClose_return,KOC_AdjClose_return,XU100_Close_return,USDTRY_Close_return,EREGL_Volume_change,SAHOL_Volume_change,KOC_Volume_change
2010-01-05,73491364,0.013520449386164082,5058266,2.2072353379475347,11165434,1.7261880750546923,541.1481323242188,1.4726999998092651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-06,27708427,0.013580005082732745,4992228,2.1691800954941933,3897700,1.733471919757557,545.4711303710938,1.4714000225067139,0.004395187727210828,-0.017391494122331905,0.004210734855933283,0.007956827203561664,-0.0008831068083168119,-0.9754313119635628,-0.013141433720408222,-1.0524361204312935
2010-01-07,40402260,0.013341752536147132,2732948,2.1691800954941933,3662297,1.7261880750546923,549.72607421875,1.471500039100647,-0.017700090028868177,0.0,-0.004210734855933278,0.00777022665505939,6.797145120663328e-05,0.3771491332432245,-0.6025014230467199,-0.06229608939279227
2010-01-08,46893994,0.013341752536147132,20476268,2.2262635846872803,5993209,1.7261880750546923,547.97607421875,1.4579999446868896,0.0,0.025975397675925292,0.0,-0.003188481474856949,-0.009216719614551068,0.14900388355385033,2.013885676949183,0.49253644870174007
2010-01-11,68805135,0.013520449386164082,8156529,2.1691800954941933,3878719,1.6752039008339554,539.2081298828125,1.4501999616622925,0.013304902301657238,-0.025975397675925296,-0.02998066286401658,-0.016129988649849724,-0.005364144129601262,0.383388771231633,-0.9204478461690537,-0.43512205040468827
2010-01-12,31084007,0.013401324175739523,1123895,2.1691800954941933,5980808,1.624219452743287,536.7611083984375,1.4535000324249268,-0.008849787524410417,0.0,-0.030907526099801852,-0.004548504950067997,0.0022730118057614247,-0.7945849362388175,-1.9820183800966644,0.43305073140894407
2010-01-13,51336636,0.013580005082732745,3267399,2.1691800954941933,10826408,1.646069480567257,546.2691040039062,1.4515999555587769,0.013244975251621351,0.0,0.013362949520566292,0.017558586592919742,-0.0013080975835237127,0.5017112067950656,1.0671939248186695,0.5934326588224331
2010-01-14,57182066,0.013699129230289054,7593754,2.1691800954941933,12937972,1.733471919757557,547.403076171875,1.4549000263214111,0.008733774569909862,0.0,0.05173597429918537,0.002073697392846402,0.002270822089325304,0.1078356684176753,0.8433318117331732,0.17817821873754117
2010-01-15,21781929,0.013699129230289054,3524858,2.150151848754448,2094549,1.7261880750546923,540.0541381835938,1.4559999704360962,0.0,-0.008810793003273946,-0.004210734855933278,-0.013516025767390189,0.0007557416388488688,-0.9651596366798953,-0.7674859155247752,-1.8208282977156627
2010-01-18,34024854,0.013877809074414028,4583537,2.188208064228128,2646076,1.7189049150266567,545.505126953125,1.4503999948501587,0.012958823973557583,0.017544506405515286,-0.004228141823283202,0.010042813431224342,-0.0038535525617459454,0.4460105764897375,0.2626308190559618,0.23373953214420848
2010-01-19,88042689,0.014175618380436553,3574705,2.1691800954941933,4014481,1.697054339462823,551.5930786132812,1.4555000066757202,0.02123237842973127,-0.008733713402241395,-0.01279340411341817,0.011098394143929007,0.0035101118822194427,0.9507305415610686,-0.24858831556214228,0.4168302859075301
2010-01-20,92286513,0.01459255077114714,23917183,2.3023746256055846,6841730,1.748038376748594,554.6890869140625,1.4723999500274658,0.028987703968439905,0.05959177626834752,0.029600225017217676,0.0055971550115048755,0.011544199793130018,0.04707621036173312,1.9007144993300604,0.5331325498432313
2010-01-21,31471900,0.014473424497854333,13474574,2.3784865005413223,4993023,1.7844562309132597,553.0090942382812,1.4859000444412231,-0.008197002798351161,0.03252332501071011,0.020619504626082166,-0.0030333063509418753,0.009126990605568755,-1.0758029252744972,-0.5737926523936201,-0.31499908567429924
2010-01-22,37850737,0.01405648998140725,6597272,2.3023746256055846,4214163,1.7189049150266567,539.9721069335938,1.4884999990463257,-0.029229965042296014,-0.0325233250107101,-0.03742632552988168,-0.023856962266757,0.001748221644211698,0.18455536707820291,-0.7141482719418607,-0.16959054273445415
2010-01-25,22001716,0.013996934284838586,2873967,2.3023746256055846,2031291,1.7261880750546923,542.80712890625,1.4860999584197998,-0.004245883530906926,0.0,0.004228141823283227,0.005236577055138073,-0.001613690030022172,-0.5425300009758295,-0.8309629249170641,-0.7297794437148485
